Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,3P,3PA,3P%,2P,2PA,2P%,eFG%,target
23.0,BUF,C,82.0,0.0,43.2,13.4,26.1,0.512,7.8,9.7,3.7,10.3,14.1,2.2,1.1,2.1,0.0,3.4,34.5,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.0,GSW,SF,80.0,0.0,40.4,12.9,27.7,0.464,4.9,5.5,1.2,4.6,5.7,6.2,2.9,0.4,0.0,2.8,30.6,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27.0,MIL,C,65.0,0.0,42.3,12.5,24.4,0.513,5.0,6.6,3.0,11.0,14.0,4.1,1.0,3.3,0.0,3.2,30.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,KCO,PG,82.0,0.0,39.6,9.3,20.3,0.456,8.0,9.1,0.6,2.1,2.7,6.8,1.5,0.1,0.0,2.3,26.5,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.0,PHO,PG,69.0,0.0,37.6,10.2,23.1,0.441,4.0,5.1,1.0,2.9,4.0,4.5,1.6,0.3,0.0,4.3,24.3,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.0,DET,C,76.0,0.0,39.3,9.6,18.9,0.51,4.8,5.9,3.0,9.1,12.0,4.6,1.0,2.3,0.0,3.1,24.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29.0,WSB,PF,82.0,0.0,42.3,9.0,20.3,0.443,5.0,6.5,2.7,9.5,12.2,2.5,1.9,2.3,0.0,2.9,23.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31.0,LAL,SG,72.0,0.0,37.1,9.1,19.8,0.459,4.4,5.3,1.3,1.7,3.0,5.8,1.4,0.1,0.0,3.0,22.6,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25.0,SEA,PF,68.0,0.0,37.2,8.9,19.5,0.459,4.5,5.6,2.9,6.4,9.3,2.0,0.8,1.6,3.3,2.5,22.4,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.0,ATL,SG,11.0,0.0,34.5,8.8,20.5,0.431,4.4,5.2,1.3,3.0,4.3,3.6,1.2,0.2,0.0,3.0,22.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
32.0,CHI,PF,61.0,0.0,39.4,8.8,20.6,0.429,4.3,5.2,1.6,4.7,6.3,1.7,1.0,0.2,0.0,3.4,22.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29.0,PHI,PG,77.0,75.0,39.6,9.3,20.8,0.447,3.3,4.5,0.9,3.5,4.4,4.4,1.1,0.3,0.0,3.3,21.9,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24.0,WSB,SG,77.0,0.0,37.3,9.0,19.9,0.45,3.9,4.7,1.0,2.8,3.8,3.2,2.3,0.8,0.0,2.1,21.8,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25.0,POR,PF,82.0,0.0,38.6,8.4,17.0,0.497,4.8,6.8,2.8,7.9,10.7,3.5,1.3,1.0,0.0,3.5,21.7,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29.0,NYK,PG,78.0,78.0,41.1,8.6,17.8,0.483,4.2,5.1,1.2,4.8,6.0,6.1,2.4,0.2,0.0,2.6,21.5,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27.0,NOJ,SG,79.0,0.0,36.1,8.3,19.8,0.419,4.9,6.1,1.2,4.2,5.3,6.2,1.5,0.2,0.0,2.9,21.5,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.0,SEA,SG,81.0,0.0,33.0,9.1,19.0,0.48,2.8,3.4,1.4,2.8,4.2,3.5,2.3,0.2,2.8,2.8,21.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.0,NYK,SG,78.0,77.0,36.1,8.6,18.7,0.457,3.8,4.6,0.7,3.5,4.2,3.5,1.4,0.4,0.0,2.6,20.9,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.0,HOU,PF,81.0,0.0,38.7,8.6,16.3,0.525,3.6,4.5,2.3,5.3,7.6,2.9,0.9,0.3,0.0,2.8,20.7,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.0,BOS,C,65.0,0.0,40.5,8.8,18.4,0.475,2.9,3.8,3.5,11.2,14.7,4.6,1.3,1.1,0.0,3.7,20.4,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27.0,MIL,SF,80.0,0.0,37.9,8.6,18.3,0.473,2.6,3.3,1.8,5.1,6.9,3.0,1.5,0.6,0.0,4.1,19.9,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31.0,PHI,SF,80.0,73.0,35.7,7.6,17.8,0.428,4.3,5.6,1.6,7.5,9.1,5.5,1.1,0.4,0.0,3.4,19.5,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
34.0,BOS,SF,82.0,0.0,38.2,7.8,17.2,0.455,3.5,4.0,1.9,4.0,5.9,5.3,1.3,0.2,0.0,2.8,19.2,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
34.0,CHI,SF,76.0,0.0,32.3,6.9,14.2,0.487,5.4,6.3,1.5,4.2,5.7,2.2,0.6,0.1,0.0,2.4,19.2,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27.0,2TM,PG,66.0,0.0,35.7,7.7,17.7,0.437,3.6,4.6,1.4,2.8,4.2,5.6,2.1,0.4,0.0,3.3,19.1,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31.0,DET,PG,79.0,0.0,40.8,7.3,16.9,0.434,4.3,5.4,1.1,2.5,3.6,7.7,1.5,0.3,0.0,2.8,19.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.0,HOU,PG,78.0,0.0,32.2,7.1,14.8,0.484,4.4,4.9,0.7,1.6,2.2,4.9,1.6,0.1,0.0,3.6,18.7,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20.0,ATL,PF,78.0,0.0,29.3,6.8,15.8,0.428,5.0,7.0,4.6,6.1,10.7,1.8,1.5,0.5,0.0,3.5,18.5,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31.0,2TM,SF,82.0,6.0,34.7,7.2,16.9,0.428,3.9,5.2,0.9,2.5,3.4,2.7,1.1,0.0,0.0,3.1,18.4,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.0,POR,PG,80.0,0.0,38.9,7.5,16.5,0.456,3.3,3.9,0.5,2.1,2.6,5.3,1.0,0.2,0.0,2.7,18.3,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28.0,BOS,PG,82.0,0.0,39.3,8.0,17.6,0.457,2.3,2.7,1.0,2.8,3.8,5.6,1.6,0.2,0.0,2.5,18.3,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23.0,PHI,SG,81.0,76.0,34.8,6.9,14.2,0.488,4.1,4.8,1.3,2.6,3.9,2.6,1.3,0.2,0.0,3.6,17.9,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.0,BUF,SG,82.0,0.0,36.6,7.4,15.4,0.484,2.9,3.6,1.2,3.0,4.2,6.5,1.7,0.0,0.0,3.0,17.8,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.0,KCO,SG,81.0,0.0,38.5,6.8,14.4,0.475,3.0,3.6,0.6,2.3,3.0,2.8,1.0,0.2,0.0,2.7,16.7,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25.0,2TM,PG,50.0,0.0,37.4,6.3,14.3,0.442,3.4,3.9,1.2,2.7,4.0,5.7,2.2,0.5,0.0,3.6,16.1,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
