Age,G,GS,MP,FG,FGA,FG%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3P,3PA,3P%,2P,2PA,2P%,eFG%,career_ft_pct,prev_ft_pct,career_seasons,target,height_in,weight_lb,ast_to_tov,pts_per_fga,threep_rate,reb_per_min,stocks_per_min,scoring_load,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
22.0,82.0,1.0,18.8,2.5,4.7,0.539,2.0,2.7,4.6,0.7,0.6,0.6,1.2,2.8,6.4,0.0,0.1,0.167,2.5,4.7,0.545,0.54,0.0,0.0,0,0,81,220.0,0.5833333333333334,1.3617021276595744,0.02127659574468085,0.24468085106382975,0.06382978723404255,0.25,False,True,False,False,False
23.0,79.0,72.0,28.4,4.0,7.4,0.538,2.7,5.1,7.8,1.1,0.9,1.0,1.3,2.2,10.8,0.0,0.1,0.0,4.0,7.4,0.543,0.538,0.6000000000000002,0.611,1,1,81,220.0,0.8461538461538461,1.4594594594594594,0.013513513513513514,0.2746478873239437,0.06690140845070422,0.2605633802816902,False,True,False,False,False
24.0,82.0,64.0,32.1,3.9,7.8,0.503,3.0,5.7,8.7,1.1,1.1,0.5,1.5,2.5,11.4,0.0,0.0,0.0,3.9,7.8,0.505,0.503,0.7142857142857143,0.78,2,1,81,220.0,0.7333333333333334,1.4615384615384617,0.0,0.27102803738317754,0.04984423676012461,0.24299065420560745,False,True,False,False,False
25.0,82.0,82.0,30.6,4.9,9.2,0.529,3.1,5.9,9.0,1.3,1.1,0.7,1.5,2.1,13.3,0.0,0.2,0.235,4.8,9.0,0.536,0.532,0.7450980392156863,0.773,3,1,81,220.0,0.8666666666666667,1.4456521739130437,0.02173913043478261,0.29411764705882354,0.058823529411764705,0.3006535947712418,False,True,False,False,False
26.0,82.0,82.0,33.0,4.7,9.8,0.478,3.2,5.5,8.7,1.1,0.8,0.6,1.4,2.5,12.9,0.2,0.6,0.283,4.5,9.3,0.489,0.486,0.7534246575342465,0.786,4,1,81,220.0,0.7857142857142858,1.316326530612245,0.06122448979591836,0.2636363636363636,0.04242424242424242,0.296969696969697,False,True,False,False,False
27.0,82.0,21.0,26.4,3.1,6.6,0.476,2.5,3.8,6.3,0.9,0.7,0.3,1.2,1.4,9.1,0.1,0.7,0.2,3.0,5.9,0.507,0.486,0.7539267015706806,0.751,5,0,81,220.0,0.75,1.378787878787879,0.10606060606060606,0.23863636363636365,0.03787878787878788,0.25,False,True,False,False,False
28.0,82.0,53.0,35.4,4.7,9.8,0.476,3.7,5.6,9.3,1.4,1.1,0.4,1.4,1.7,13.6,0.1,0.7,0.214,4.5,9.1,0.495,0.483,0.7500000000000001,0.738,6,0,81,220.0,1.0,1.387755102040816,0.07142857142857142,0.2627118644067797,0.04237288135593221,0.27683615819209045,False,True,False,False,False
29.0,82.0,55.0,34.4,4.6,8.6,0.537,3.5,5.2,8.7,1.4,1.1,0.5,1.4,1.8,12.8,0.2,0.6,0.348,4.4,8.0,0.55,0.548,0.7464788732394366,0.744,7,0,81,220.0,1.0,1.488372093023256,0.06976744186046512,0.25290697674418605,0.04651162790697675,0.25,False,True,False,False,False
30.0,82.0,55.0,34.5,5.7,11.3,0.502,3.4,5.8,9.2,1.7,0.9,0.5,1.2,1.7,14.7,0.1,0.4,0.229,5.6,10.9,0.513,0.506,0.7454545454545455,0.739,8,0,81,220.0,1.4166666666666667,1.3008849557522122,0.035398230088495575,0.26666666666666666,0.04057971014492753,0.327536231884058,False,True,False,False,False
31.0,82.0,52.0,32.8,3.8,7.5,0.504,2.4,5.8,8.2,1.5,0.7,0.4,1.4,1.8,11.2,0.5,1.5,0.339,3.3,6.0,0.547,0.539,0.7433155080213903,0.735,9,0,81,220.0,1.0714285714285714,1.4933333333333332,0.2,0.25,0.03353658536585367,0.22865853658536586,False,False,False,True,False
32.0,82.0,36.0,25.8,2.6,5.4,0.484,2.0,4.7,6.8,0.9,0.5,0.3,1.0,1.7,7.5,0.2,0.6,0.269,2.5,4.8,0.513,0.5,0.7427884615384615,0.732,10,0,81,220.0,0.9,1.3888888888888888,0.1111111111111111,0.2635658914728682,0.031007751937984496,0.20930232558139536,False,False,False,True,False
33.0,83.0,73.0,30.0,2.8,5.8,0.483,2.7,5.2,7.9,0.8,0.8,0.2,0.9,1.7,7.2,0.0,0.2,0.05,2.8,5.6,0.502,0.485,0.7393258426966292,0.709,11,0,81,220.0,0.888888888888889,1.2413793103448276,0.034482758620689655,0.26333333333333336,0.03333333333333333,0.19333333333333333,False,True,False,False,False
34.0,82.0,68.0,32.3,3.0,6.5,0.453,2.7,5.5,8.1,1.5,1.0,0.3,0.8,1.9,7.3,0.0,0.0,0.0,3.0,6.5,0.457,0.453,0.7334754797441364,0.65,12,0,81,220.0,1.875,1.123076923076923,0.0,0.25077399380804954,0.04024767801857586,0.20123839009287928,False,True,False,False,False
35.0,50.0,35.0,18.5,2.2,5.1,0.422,1.6,2.9,4.6,0.5,0.6,0.2,0.4,1.4,4.9,0.0,0.2,0.0,2.2,5.0,0.435,0.422,0.7321063394683026,0.716,13,0,81,220.0,1.25,0.9607843137254903,0.03921568627450981,0.24864864864864863,0.043243243243243246,0.27567567567567564,False,True,False,False,False
36.0,82.0,82.0,23.5,2.1,4.7,0.447,2.0,4.0,5.9,1.0,0.6,0.2,0.6,1.5,5.0,0.0,0.0,0.25,2.1,4.7,0.449,0.448,0.7294589178356715,0.577,14,0,81,220.0,1.6666666666666667,1.0638297872340425,0.0,0.25106382978723407,0.03404255319148936,0.2,False,True,False,False,False
37.0,82.0,1.0,17.2,1.8,4.0,0.444,1.3,2.5,3.8,0.5,0.4,0.1,0.5,1.5,4.5,0.0,0.1,0.0,1.8,3.9,0.453,0.444,0.7279843444227007,0.695,15,0,81,220.0,1.0,1.125,0.025,0.22093023255813954,0.029069767441860465,0.23255813953488372,False,True,False,False,False
23.0,70.0,12.0,20.6,3.6,8.2,0.439,0.9,1.2,2.1,2.5,0.4,0.2,1.6,1.8,8.8,0.0,0.4,0.097,3.5,7.7,0.458,0.441,0.0,0.0,0,0,75,175.0,1.5625,1.0731707317073174,0.04878048780487806,0.10194174757281553,0.02912621359223301,0.3980582524271844,False,False,False,False,True
24.0,81.0,6.0,20.6,4.5,10.4,0.433,0.9,1.2,2.1,1.8,0.4,0.1,1.1,2.0,10.9,0.1,0.4,0.176,4.4,10.0,0.443,0.436,0.7272727272727274,0.707,1,1,75,175.0,1.6363636363636362,1.0480769230769231,0.038461538461538464,0.10194174757281553,0.024271844660194174,0.5048543689320388,False,False,False,False,True
24.0,26.0,2.0,18.7,3.1,7.3,0.421,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,1.3,3.9,0.327,1.8,3.4,0.528,0.508,0.5000000000000002,0.652,2,0,78,179.0,2.0,1.2465753424657533,0.5342465753424658,0.1764705882352941,0.0374331550802139,0.39037433155080214,False,False,False,False,True
23.0,56.0,2.0,15.4,2.6,6.3,0.41,0.2,1.4,1.6,1.9,0.6,0.1,1.1,0.9,7.3,1.1,3.1,0.345,1.5,3.2,0.472,0.494,0.0,0.0,0,1,74,181.0,1.727272727272727,1.1587301587301588,0.4920634920634921,0.1038961038961039,0.04545454545454545,0.40909090909090906,False,False,True,False,False
24.0,50.0,0.0,15.9,2.3,6.4,0.356,0.3,1.1,1.4,2.2,0.6,0.0,1.1,1.2,6.5,0.8,3.0,0.275,1.5,3.4,0.427,0.42,0.846153846153846,0.8,1,0,74,181.0,2.0,1.015625,0.46875,0.0880503144654088,0.03773584905660377,0.4025157232704403,False,False,True,False,False
26.0,57.0,22.0,22.4,2.8,7.2,0.39,0.4,1.6,2.0,3.6,0.6,0.1,1.1,1.3,7.7,1.2,3.5,0.35,1.6,3.7,0.427,0.475,0.7567567567567567,0.8,3,1,74,181.0,3.2727272727272725,1.0694444444444444,0.4861111111111111,0.08928571428571429,0.03125,0.32142857142857145,False,False,True,False,False
26.0,6.0,0.0,6.5,0.5,2.0,0.25,0.2,0.3,0.5,1.3,0.2,0.0,0.7,0.2,2.0,0.0,0.2,0.0,0.5,1.8,0.273,0.25,0.0,0.0,0,1,74,180.0,1.8571428571428574,1.0,0.1,0.07692307692307693,0.03076923076923077,0.3076923076923077,False,False,True,False,False
