Player,height_in,weight_lb
Alaa Abdelnaby,82,240.0
Zaid Abdul-Aziz,81,235.0
Kareem Abdul-Jabbar,86,225.0
Mahmoud Abdul-Rauf,73,162.0
Tariq Abdul-Wahad,78,223.0
Shareef Abdur-Rahim,81,225.0
Tom Abernethy,79,220.0
Forest Able,75,180.0
John Abramovic,75,195.0
Álex Abrines,78,200.0
Precious Achiuwa,80,243.0
Alex Acker,77,185.0
Don Ackerman,72,183.0
Mark Acres,83,220.0
Bud Acton,78,210.0
Quincy Acy,79,240.0
Alvan Adams,81,210.0
Don Adams,78,210.0
George Adams,77,210.0
Hassan Adams,76,220.0
Jaylen Adams,72,225.0
Jordan Adams,77,209.0
Michael Adams,70,162.0
Steven Adams,83,265.0
Rafael Addison,79,215.0
Bam Adebayo,81,255.0
Deng Adel,79,200.0
Rick Adelman,73,175.0
Jeff Adrien,79,245.0
Arron Afflalo,77,210.0
Ochai Agbaji,77,215.0
Maurice Ager,77,202.0
Mark Aguirre,78,232.0
Blake Ahearn,74,190.0
Danny Ainge,77,185.0
Matt Aitch,79,230.0
Alexis Ajinça,86,248.0
Henry Akin,82,225.0
Josh Akognon,71,185.0
DeVaughn Akoon-Purcell,78,200.0
Solomon Alabi,85,251.0
Mark Alarie,80,217.0
Gary Alcorn,81,225.0
Santi Aldama,84,215.0
Furkan Aldemir,82,240.0
Cole Aldrich,83,253.0
LaMarcus Aldridge,83,250.0
Chuck Aleksinas,83,260.0
Cliff Alexander,80,245.0
Cory Alexander,73,185.0
Courtney Alexander,77,205.0
Gary Alexander,79,240.0
Joe Alexander,80,230.0
Kyle Alexander,83,220.0
Trey Alexander,77,185.0
Ty-Shon Alexander,75,195.0
Victor Alexander,81,265.0
Nickeil Alexander-Walker,77,205.0
Steve Alford,74,183.0
Rawle Alkins,77,225.0
Bill Allen,80,205.0
Bob Allen,81,205.0
Grayson Allen,75,198.0
Jarrett Allen,81,243.0
Jerome Allen,76,184.0
Kadeem Allen,73,200.0
Lavoy Allen,81,260.0
Lucius Allen,74,175.0
Malik Allen,82,255.0
Randy Allen,80,220.0
Ray Allen,77,205.0
Timmy Allen,78,210.0
Tony Allen,76,213.0
Willie Allen,78,230.0
Odis Allison,78,195.0
Lance Allred,83,250.0
Darrell Allums,81,220.0
Morris Almond,78,225.0
Derrick Alston,83,225.0
Rafer Alston,74,171.0
Peter Aluma,82,260.0
Jose Alvarado,72,179.0
John Amaechi,82,270.0
Ashraf Amaya,80,230.0
Al-Farouq Aminu,81,220.0
Lou Amundson,81,220.0
Bob Anderegg,75,200.0
Chris Andersen,82,245.0
David Andersen,83,245.0
Alan Anderson,78,220.0
Andy Anderson,74,184.0
Antonio Anderson,78,215.0
Cliff Anderson,74,200.0
Dan Anderson,82,230.0
Derek Anderson,77,194.0
Dwight Anderson,75,185.0
Eric Anderson,81,220.0
Greg Anderson,82,230.0
J.J. Anderson,80,195.0
James Anderson,78,213.0
Jerome Anderson,77,195.0
Justin Anderson,78,230.0
Kenny Anderson,73,168.0
Kim Anderson,79,200.0
Kyle Anderson,80,230.0
Michael Anderson,71,184.0
Nick Anderson,78,205.0
Richard Anderson,82,240.0
Ron Anderson,79,215.0
Ryan Anderson,81,240.0
Shandon Anderson,78,208.0
Willie Anderson,79,190.0
Wally Anderzunas,79,220.0
Martynas Andriuškevičius,86,240.0
Don Anielak,79,190.0
Ike Anigbogu,81,252.0
Michael Ansley,79,225.0
Chris Anstey,84,249.0
Alex Antetokounmpo,80,214.0
Giannis Antetokounmpo,83,243.0
Kostas Antetokounmpo,82,200.0
Thanasis Antetokounmpo,79,219.0
Carmelo Anthony,79,238.0
Cole Anthony,74,185.0
Greg Anthony,72,176.0
Joel Anthony,81,245.0
Pero Antić,83,260.0
OG Anunoby,79,240.0
Keith Appling,73,185.0
Rafael Araújo,83,280.0
Stacey Arceneaux,76,210.0
Robert Archibald,83,250.0
Tiny Archibald,73,150.0
Ryan Arcidiacono,75,195.0
Jim Ard,80,215.0
Gilbert Arenas,76,191.0
Trevor Ariza,80,215.0
Paul Arizin,76,190.0
Joe Arlauckas,81,230.0
B.J. Armstrong,74,175.0
Bob Armstrong,80,220.0
Brandon Armstrong,77,188.0
Curly Armstrong,71,170.0
Darrell Armstrong,73,180.0
Hilton Armstrong,83,235.0
Tate Armstrong,75,175.0
Jesse Arnelle,77,220.0
Jay Arnette,74,175.0
Bob Arnzen,77,205.0
Carlos Arroyo,74,202.0
Darrell Arthur,81,235.0
John Arthurs,76,185.0
Jamel Artis,79,213.0
Ömer Aşık,84,255.0
Vincent Askew,78,210.0
Keith Askins,79,197.0
Don Asmonga,74,185.0
Dick Atha,74,190.0
Chucky Atkins,71,160.0
Al Attles,72,175.0
Chet Aubuchon,70,137.0
Stacey Augmon,80,205.0
D.J. Augustin,71,183.0
James Augustine,82,235.0
Isaac Austin,82,255.0
Johnny Austin,72,170.0
Ken Austin,81,205.0
Deni Avdija,80,228.0
Anthony Avent,81,235.0
Bird Averitt,73,170.0
William Avery,74,197.0
Dennis Awtrey,82,235.0
Joel Ayayi,76,180.0
Gustavo Ayón,82,250.0
Jeff Ayres,81,240.0
Deandre Ayton,84,252.0
Kelenna Azubuike,77,220.0
Udoka Azubuike,83,270.0
Chris Babb,77,225.0
Luke Babbitt,81,225.0
Miloš Babić,84,240.0
Johnny Bach,74,180.0
Dwayne Bacon,78,221.0
Henry Bacon,75,205.0
Ibou Badji,82,240.0
Jim Baechtold,76,205.0
Dalibor Bagarić,85,255.0
John Bagley,72,185.0
Marcus Bagley,80,215.0
Marvin Bagley III,82,235.0
Ace Bailey,81,200.0
Amari Bailey,75,185.0
Carl Bailey,84,210.0
Gus Bailey,77,185.0
James Bailey,81,220.0
Thurl Bailey,83,215.0
Toby Bailey,78,213.0
Cameron Bairstow,81,250.0
Jimmie Baker,81,220.0
Mark Baker,73,175.0
Maurice Baker,73,175.0
Norm Baker,72,180.0
Ron Baker,76,220.0
Vin Baker,83,232.0
Adama-Alpha Bal,79,190.0
Patrick Baldwin Jr.,84,220.0
Wade Baldwin,76,200.0
Renaldo Balkman,80,208.0
Cedric Ball,80,210.0
LaMelo Ball,79,180.0
Lonzo Ball,77,190.0
Greg Ballard,79,215.0
Herschel Baltimore,76,195.0
Mo Bamba,84,231.0
Paolo Banchero,82,250.0
Desmond Bane,78,215.0
Gene Banks,79,215.0
Marcus Banks,74,200.0
Walker Banks,82,205.0
Ken Bannister,81,235.0
Mike Bantom,81,200.0
Dalano Banton,80,203.0
Cat Barber,74,180.0
John Barber,78,210.0
Leandro Barbosa,75,194.0
Steve Bardo,77,190.0
J.J. Barea,70,180.0
Andrea Bargnani,84,245.0
Cliff Barker,74,185.0
Tom Barker,83,225.0
Charles Barkley,78,252.0
Erick Barkley,73,177.0
Don Barksdale,78,200.0
Dominick Barlow,81,215.0
Harrison Barnes,79,225.0
Harry Barnes,75,205.0
Jim Barnes,80,210.0
Marvin Barnes,81,225.0
Matt Barnes,79,226.0
Scottie Barnes,80,237.0
Dick Barnett,76,190.0
Jim Barnett,76,170.0
Nate Barnett,75,175.0
John Barnhill,73,180.0
Norton Barnhill,76,205.0
Brooks Barnhizer,77,230.0
Leo Barnhorst,76,190.0
John Barr,75,205.0
Mike Barr,75,180.0
Moe Barr,76,195.0
Andre Barrett,70,172.0
Ernie Barrett,75,180.0
Mike Barrett,74,155.0
RJ Barrett,78,214.0
Earl Barron,84,250.0
Dana Barros,71,163.0
Brent Barry,78,185.0
Drew Barry,77,191.0
Jon Barry,76,195.0
Rick Barry,79,205.0
